Date, Carssold
2017-01,"2,800"
2017-02,"3,000"
2017-03,"3,000"
2017-04,"4,400"
2017-05,"4,400"
2017-06,"4,400"
2017-07,"4,400"
2017-08,"4,400"
2017-09,"4,517"
2017-10,"4,545"
2017-11,"4,745"
2017-12,"5,460"
2018-01,"6,875"
2018-02,"7,485"
2018-03,"8,820"
2018-04,"6,150"
2018-05,"11,250"
2018-06,"11,062"
2018-07,"16,675"
2018-08,"21,700"
2018-09,"29,975"
2018-10,"20,325"
2018-11,"24,600"
2018-12,"32,600"
2019-01,"8,325"
2019-02,"7,650"
2019-03,"14,625"
2019-04,"11,925"
2019-05,"16,350"
2019-06,"25,025"
2019-07,"15,650"
2019-08,"16,025"
2019-09,"23,025"
2019-10,"18,612"
2019-11,"19,301"
2019-12,"18,612"
2020-01,"22,350"
2020-02,"20,450"
2020-03,"10,000"
2020-04,"6,624"
2020-05,"14,720"
2020-06,"15,456"
2020-07,"48,846"
2020-08,"43,418"
2020-09,"47,036"
2020-10,"21,591"
2020-11,"17,736"
2020-12,"24,675"
2021-01,"21,120"
2021-02,"21,120"
2021-03,"23,760"
2021-04,"24,751"
2021-05,"23,799"
2021-06,"24,751"
2021-07,"28,350"
2021-08,"27,301"
2021-09,"28,350"